 log g Teff  log Z Vel   a(CBBED)
 log g Teff  log Z Vel   b(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 0.00  3500. -5.0  2.0   0.4568
 0.00  3500. -5.0  2.0   0.1728
 0.00  3500. -5.0  2.0   0.0011
 0.50  3500. -5.0  2.0   0.3816
 0.50  3500. -5.0  2.0   0.2334
 0.50  3500. -5.0  2.0   0.0031
 1.00  3500. -5.0  2.0   0.2679
 1.00  3500. -5.0  2.0   0.3202
 1.00  3500. -5.0  2.0   0.0087
 1.50  3500. -5.0  2.0   0.1860
 1.50  3500. -5.0  2.0   0.3795
 1.50  3500. -5.0  2.0   0.0154
 2.00  3500. -5.0  2.0   0.1560
 2.00  3500. -5.0  2.0   0.4024
 2.00  3500. -5.0  2.0   0.0185
 2.50  3500. -5.0  2.0   0.1632
 2.50  3500. -5.0  2.0   0.4016
 2.50  3500. -5.0  2.0   0.0163
 3.00  3500. -5.0  2.0   0.2050
 3.00  3500. -5.0  2.0   0.3717
 3.00  3500. -5.0  2.0   0.0090
 0.00  3750. -5.0  2.0   0.4221
 0.00  3750. -5.0  2.0   0.1958
 0.00  3750. -5.0  2.0   0.0032
 0.50  3750. -5.0  2.0   0.3715
 0.50  3750. -5.0  2.0   0.2375
 0.50  3750. -5.0  2.0   0.0049
 1.00  3750. -5.0  2.0   0.3164
 1.00  3750. -5.0  2.0   0.2718
 1.00  3750. -5.0  2.0   0.0083
 1.50  3750. -5.0  2.0   0.2136
 1.50  3750. -5.0  2.0   0.3388
 1.50  3750. -5.0  2.0   0.0173
 2.00  3750. -5.0  2.0   0.1026
 2.00  3750. -5.0  2.0   0.4096
 2.00  3750. -5.0  2.0   0.0320
 2.50  3750. -5.0  2.0   0.0435
 2.50  3750. -5.0  2.0   0.4465
 2.50  3750. -5.0  2.0   0.0451
 3.00  3750. -5.0  2.0   0.0232
 3.00  3750. -5.0  2.0   0.4750
 3.00  3750. -5.0  2.0   0.0475
 0.00  4000. -5.0  2.0   0.4077
 0.00  4000. -5.0  2.0   0.1972
 0.00  4000. -5.0  2.0   0.0055
 0.50  4000. -5.0  2.0   0.3581
 0.50  4000. -5.0  2.0   0.2369
 0.50  4000. -5.0  2.0   0.0075
 1.00  4000. -5.0  2.0   0.3036
